"X","carat","cut","color","clarity","depth","table","price","x","y","z"
51663,0.73,"Ideal","I","VS1",60.7,56,2397,5.85,5.81,3.54
2986,0.7,"Ideal","G","VS1",60.8,56,3300,5.73,5.8,3.51
29925,0.31,"Ideal","D","VS1",61.6,55,713,4.3,4.33,2.66
29710,0.31,"Ideal","H","VVS1",62.2,56,707,4.34,4.37,2.71
37529,0.31,"Ideal","E","IF",60.9,55,987,4.39,4.41,2.68
2757,0.83,"Good","E","SI1",63.7,59,3250,5.95,5.89,3.77
45404,0.51,"Very Good","D","VS2",62.5,58,1668,5.12,5.18,3.22
46435,0.7,"Good","H","SI1",64.2,58,1771,5.59,5.62,3.6
38938,0.4,"Ideal","E","VS1",61.6,56,1053,4.73,4.78,2.93
9642,1.1,"Very Good","I","SI1",61.2,61,4640,6.61,6.66,4.01
52132,0.52,"Premium","E","VVS2",60.1,59,2467,5.27,5.22,3.15
31313,0.32,"Ideal","D","VS2",62.2,55,758,4.37,4.41,2.73
14183,1,"Very Good","D","SI1",60.5,58,5755,6.42,6.48,3.9
15180,1.01,"Good","F","VS2",63.6,59,6097,6.36,6.32,4.03
27168,2.01,"Very Good","I","VS2",63.8,59,17422,7.89,7.85,5.02
24173,1.6,"Premium","F","SI1",60.5,58,12343,7.62,7.53,4.58
9097,1.01,"Premium","I","SI1",60.8,61,4525,6.47,6.43,3.92
30538,0.31,"Ideal","D","VS2",61.5,56,734,4.37,4.41,2.7
28981,0.38,"Very Good","F","VS2",61.3,57,685,4.67,4.7,2.87
7989,1.03,"Premium","I","SI1",62,58,4326,6.47,6.43,4
13536,1.31,"Ideal","I","SI2",63.6,55,5546,6.98,6.92,4.42
49369,0.7,"Very Good","F","SI1",63.2,56,2100,5.61,5.5,3.51
24541,2.01,"Very Good","H","SI2",63.4,56,12829,8.09,7.99,5.1
6216,0.8,"Very Good","G","VVS2",62.5,56,4002,5.95,5.98,3.73
17983,1.2,"Premium","E","SI1",60.9,57,7274,6.86,6.8,4.16
29394,0.31,"Good","E","SI1",63.9,56,698,4.31,4.27,2.74
53241,0.82,"Very Good","F","SI2",62.9,59,2643,5.89,5.93,3.72
28825,0.41,"Premium","H","SI1",61.7,60,683,4.71,4.75,2.92
41237,0.33,"Ideal","E","IF",61.9,57,1207,4.45,4.41,2.74
41,0.33,"Ideal","I","SI2",61.2,56,403,4.49,4.5,2.75
14426,1.3,"Premium","H","VS2",62.7,58,5824,7.01,6.97,4.38
40159,0.35,"Ideal","G","IF",62.3,55,1116,4.52,4.5,2.81
7284,1.25,"Premium","J","SI1",62,61,4200,6.86,6.84,4.25
43782,0.62,"Ideal","F","SI2",61.3,55,1441,5.55,5.47,3.38
51656,0.3,"Ideal","G","VS2",61.8,54,545,4.34,4.37,2.69
28502,0.4,"Ideal","E","SI1",62.2,54,673,4.74,4.78,2.96
11473,0.9,"Ideal","H","VS1",60.9,56,5013,6.25,6.27,3.81
42802,0.4,"Ideal","F","VVS2",61.8,55,1351,4.71,4.74,2.92
43042,0.5,"Very Good","E","SI1",63.5,61,1374,5.03,4.98,3.18
12301,1.09,"Premium","H","SI1",62.4,59,5219,6.53,6.48,4.06
6134,0.91,"Ideal","G","SI2",61.6,56,3985,6.24,6.22,3.84
33523,0.34,"Ideal","E","VS2",62.2,57,829,4.46,4.42,2.76
21812,1.66,"Premium","J","VVS2",62.6,59,9882,7.54,7.58,4.73
39895,0.42,"Premium","F","VS1",60.9,59,1103,4.85,4.8,2.94
9640,1.17,"Good","D","SI2",57.8,62,4639,6.97,6.91,4.01
19742,1.27,"Very Good","D","SI1",62.5,58,8312,6.87,6.92,4.31
9326,0.9,"Premium","G","VS1",62.7,58,4579,6.15,6.06,3.83
26510,1.55,"Premium","D","VS2",61.5,58,16137,7.51,7.48,4.61
20960,1.5,"Good","D","SI2",60.2,65,9173,7.37,7.34,4.43
14403,1.06,"Premium","D","SI1",59.4,57,5817,6.72,6.65,3.97
5967,0.9,"Very Good","F","SI1",60.4,60,3950,6.23,6.29,3.78
45221,0.42,"Ideal","F","VVS1",61.4,56,1656,4.83,4.85,2.97
48306,0.32,"Ideal","H","VS2",61.7,56,534,4.39,4.42,2.72
